Symbol,Interval,RSI_Set,SL_TP,Return%,Trades,WinRate
SOL,15m,40/60,1%/2%,-12.38284385015885,32,25.0
BNB,15m,45/55,2%/4%,-12.528994981870472,19,31.57894736842105
DOGE,1h,35/65,5%/10%,-12.542084513885687,24,33.33333333333333
DOGE,15m,35/65,2%/6%,-12.570166097674452,19,21.052631578947366
BNB,4h,40/60,2%/4%,-12.738627613258258,42,35.714285714285715
LINK,15m,40/60,3%/6%,-12.756108642092249,15,26.666666666666668
BTC,1h,35/65,1%/2%,-12.822704393650202,38,28.947368421052634
ARB,15m,35/65,2%/6%,-13.133752914141564,20,20.0
ETH,4h,30/70,2%/6%,-13.267395259585212,21,23.809523809523807
ETH,4h,30/70,5%/10%,-13.30853625299502,19,31.57894736842105
LINK,1h,30/70,1%/2%,-13.323837523320867,19,21.052631578947366
ETH,15m,35/65,2%/4%,-13.503847017193163,16,25.0
LINK,15m,35/65,5%/10%,-13.541798897731189,6,16.666666666666664
OP,4h,35/65,5%/10%,-13.592575115943953,23,30.434782608695656
MATIC,4h,35/65,2%/4%,-13.71581977290201,8,25.0
SOL,1h,35/65,1%/2%,-13.730596540238322,38,31.57894736842105
OP,15m,30/70,2%/6%,-13.731794708764337,9,11.11111111111111
